OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Region,City,ProductCategory,ProductSubCategory,ProductName,Quantity,UnitPrice,Discount,Sales,Profit,PaymentMode,ShipMode,Returned,CustomerSegment,SalesPerson,Rating,Month,Year,DeliveryDate,Feedback,Supplier,Country,CostPrice,Margin,Tax,product_key_match,item_id,short_description,link,width,height,depth,designer
O1001,2024-09-15,2024-09-18,CUST-1001,Lars Anderson,North America,New York,Furniture,Sofas,KIVIK Sofa,1.0,799,0.05,759.05,248.33,Credit Card,Standard Class,No,Consumer,Sofia Karlsson,5.0,9.0,2024.0,2024-09-20,Excellent,Inter IKEA Supply AG,USA,450.0,0.3271,60.72,KIVIK,79305512.0,        Chaise longue,https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/,90.0,83.0,163.0,Ola Wihlborg
O1002,2024-10-01,2024-10-01,CUST-1002,Maria Rodriguez,Europe,Madrid,Storage,Shelving Unit,KALLAX Shelf,3.0,45.99,0.0,137.97,65.08,UPI,Same Day,No,Corporate,Juan Garcia,4.0,10.0,2024.0,2024-10-01,Positive,Swedwood,Spain,50.0,0.4717,22.89,KALLAX,20275814.0,"        Shelving unit,          77x77 cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/,77.0,77.0,39.0,Tord Björklund
O1003,2024-10-05,2024-10-09,CUST-1003,Kenji Tanaka,Asia,Tokyo,Kitchen,Dinnerware,OFTAST Plate,12.0,1.49,0.1,16.09,7.91,NetBanking,Second Class,No,Home Office,Aya Sato,3.0,10.0,2024.0,2024-10-10,Neutral,Local Supplier JP,Japan,6.5,0.4916,1.68,OFTAST,,,,,,,
O1004,2024-11-20,2024-11-20,CUST-1004,Fatima Al Marzooqi,Middle East,Dubai,Textiles,Bedding,GULLKLOCKA Duvet,2.0,49.99,0.2,79.98,-15.02,Debit Card,Same Day,Yes,Consumer,Omar Hassan,1.0,11.0,2024.0,2024-11-20,Negative,IKEA Industry,UAE,85.0,-0.1878,10.0,GULLKLOCKA,,,,,,,
O1005,2024-12-10,2024-12-11,CUST-1005,David Chen,North America,Toronto,Lighting,Lamps,FADO Table Lamp,4.0,19.99,0.0,79.96,32.76,PayPal,First Class,No,Corporate,Emily White,5.0,12.0,2024.0,2024-12-12,Excellent,IKEA Industry,Canada,40.0,0.4097,7.2,FADO,,,,,,,
O1006,2023-04-25,2023-04-25,CUST754,John Smith,Europe,London,Furniture,Tables,INGATORP Dining Table,15.0,546.04,0.0,8190.6,2648.97,NetBanking,Standard Class,No,Home Office,Omar Hassan,5.0,4.0,2023.0,2023-04-30,Negative,Swedwood,UK,342.14,32.34,409.53,INGATORP,29917307.0,"        Table and 4 chairs,          155 cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/,87.0,74.0,,Carina Bengs
O1007,2024-08-26,2024-08-28,CUST559,Chloé Dubois,Europe,Barcelona,Kitchen,Appliances,TILLREDA Portable Induction Hob,4.0,957.28,0.1,3446.21,1104.09,UPI,Same Day,Yes,Consumer,Karan Mehta,3.0,8.0,2024.0,2024-08-27,Excellent,Local Supplier JP,Spain,507.99,32.04,310.16,TILLREDA,,,,,,,
O1008,2024-07-19,2024-07-21,CUST180,Giovanni Rossi,Asia,Mumbai,Furniture,Sofas,KLIPPAN Loveseat,4.0,773.41,0.0,3093.64,319.89,UPI,Second Class,Yes,Home Office,Rohit Kumar,1.0,7.0,2024.0,2024-07-29,Positive,IKEA Industry,India,585.16,10.34,433.11,KLIPPAN,9251777.0,        2-seat sofa,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/,180.0,66.0,88.0,IKEA of Sweden
O1009,2023-08-03,2023-08-08,CUST463,Maria Rodriguez,North America,Los Angeles,Storage,Shelving Unit,BILLY Bookcase,7.0,271.04,0.0,1897.28,671.84,NetBanking,Standard Class,Yes,Corporate,Anita Desai,5.0,8.0,2023.0,2023-08-08,Neutral,Inter IKEA Supply AG,USA,153.38,35.41,151.78,BILLY,263850.0,"        Bookcase,          80x28x202 cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/,80.0,202.0,28.0,Gillis Lundgren
O1010,2024-08-03,2024-08-08,CUST316,Isabella Schmidt,Europe,Barcelona,Textiles,Rugs,STOENSE Rug,5.0,140.91,0.05,669.32,122.8,Cash,Second Class,Yes,Corporate,Omar Hassan,5.0,8.0,2024.0,2024-08-09,Positive,ABC Distributors,Spain,93.24,18.35,80.32,STOENSE,,,,,,,
O1011,2023-10-09,2023-10-10,CUST840,David Chen,Asia,Osaka,Furniture,Chairs,ODGER Chair,8.0,448.33,0.05,3407.31,1290.41,Credit Card,Same Day,No,Consumer,Aya Sato,4.0,10.0,2023.0,2023-10-19,Excellent,FurniMart,Japan,212.72,37.88,272.58,ODGER,70308685.0,        Swivel chair,https://www.ikea.com/sa/en/p/odger-swivel-chair-white-beige-70308685/,68.0,,68.0,J Löfgren/J Pettersson
O1012,2024-02-05,2024-02-07,CUST392,Emily White,North America,Toronto,Storage,Wardrobes,PAX Wardrobe,10.0,737.91,0.2,5903.28,1341.34,NetBanking,Second Class,No,Home Office,Sofia Karlsson,5.0,2.0,2024.0,2024-02-15,Excellent,OfficeHub,Canada,432.22,22.72,708.86,PAX,29385672.0,"        Wardrobe combination,          150x58x201 cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/,150.0,201.0,58.0,IKEA of Sweden/Ehlén Johansson
O1013,2024-01-26,2024-01-27,CUST211,Michael Brown,Europe,Berlin,Furniture,Tables,LINNMON/ADILS Desk,1.0,260.12,0.05,247.11,114.71,UPI,First Class,No,Corporate,Juan Garcia,2.0,1.0,2024.0,2024-02-04,Positive,Swedwood,Germany,137.91,46.42,17.5,LINNMON/ADILS,,,,,,,
O1014,2023-01-23,2023-01-28,CUST610,John Smith,Asia,Shanghai,Lighting,Lamps,HEKTAR Floor Lamp,5.0,930.56,0.0,4652.8,1708.2,PayPal,Standard Class,No,Consumer,Karan Mehta,1.0,1.0,2023.0,2023-02-01,Negative,Local Supplier JP,China,529.62,36.71,697.92,HEKTAR,,,,,,,
O1015,2023-02-08,2023-02-13,CUST406,Lars Anderson,Middle East,Dubai,Kitchen,Dinnerware,FÄRGRIK Bowl,11.0,1.89,0.0,20.79,5.86,Credit Card,Same Day,Yes,Consumer,Rohit Kumar,3.0,2.0,2023.0,2023-02-18,Neutral,IKEA Industry,UAE,1.34,28.19,2.5,FÄRGRIK,,,,,,,
O1016,2024-04-18,2024-04-23,CUST914,Emily White,North America,Chicago,Textiles,Bedding,FÄLTSKÄR Sheet Set,6.0,993.45,0.3,4172.49,1184.86,NetBanking,Standard Class,No,Corporate,Sofia Karlsson,4.0,4.0,2024.0,2024-04-28,Excellent,ABC Distributors,USA,504.6,28.4,625.86,FÄLTSKÄR,,,,,,,
O1017,2024-02-14,2024-02-19,CUST798,Emily White,Asia,Tokyo,Furniture,Chairs,ADDE Chair,13.0,11.2,0.0,145.6,72.82,Cash,Standard Class,No,Home Office,Aya Sato,5.0,2.0,2024.0,2024-02-23,Positive,FurniMart,Japan,5.92,50.01,13.98,ADDE,10219178.0,        Chair,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,39.0,77.0,47.0,Marcus Arvonen
O1018,2023-09-07,2023-09-11,CUST991,John Smith,Europe,London,Lighting,Lamps,FADO Table Lamp,4.0,884.09,0.2,2829.09,623.15,Credit Card,Second Class,No,Consumer,Juan Garcia,5.0,9.0,2023.0,2023-09-17,Excellent,IKEA Industry,UK,525.96,22.03,339.78,FADO,,,,,,,
O1019,2023-04-10,2023-04-15,CUST777,Michael Brown,North America,Vancouver,Storage,Shelving Unit,HEMNES Storage,11.0,86.99,0.0,956.89,358.55,PayPal,Standard Class,No,Corporate,Emily White,4.0,4.0,2023.0,2023-04-19,Positive,ABC Distributors,Canada,50.04,37.47,81.08,HEMNES,89931560.0,"        Bed frame,          140x200 cm",https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,154.0,,,IKEA of Sweden/Carina Bengs
O1020,2024-03-24,2024-03-26,CUST755,Rajesh Gupta,Asia,Delhi,Textiles,Bedding,GULLKLOCKA Duvet,3.0,59.99,0.2,143.98,20.45,UPI,First Class,No,Home Office,Rohit Kumar,2.0,3.0,2024.0,2024-03-31,Neutral,FurniMart,India,42.0,14.2,14.38,GULLKLOCKA,,,,,,,
O1021,2023-05-18,2023-05-20,CUST548,Michael Brown,Europe,Munich,Furniture,Tables,LACK Side Table,15.0,20,0.0,300.0,117.75,Cash,Second Class,No,Corporate,Anita Desai,5.0,5.0,2023.0,2023-05-24,Positive,Swedwood,Germany,13.0,39.25,30.0,LACK,60282186.0,"        Wall shelf unit,          30x190 cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,30.0,190.0,28.0,C Halskov/H Dalsgaard
O1022,2024-11-20,2024-11-21,CUST212,Ahmed Khan,Asia,Shanghai,Lighting,Lamps,LERSTA Floor Lamp,8.0,5.99,0.0,47.92,19.53,Credit Card,Same Day,Yes,Consumer,Karan Mehta,4.0,11.0,2024.0,2024-11-26,Excellent,OfficeHub,China,3.35,40.76,4.88,LERSTA,,,,,,,
O1023,2023-07-06,2023-07-10,CUST567,Jessica Lee,North America,New York,Kitchen,Dinnerware,OFTAST Plate,2.0,4.99,0.0,9.98,-1.13,PayPal,Standard Class,No,Corporate,Omar Hassan,3.0,7.0,2023.0,2023-07-16,Negative,ABC Distributors,USA,6.0,-11.32,2.11,OFTAST,,,,,,,
